experiment_name,model_name,hypothesis_group,category,expected_direction,fold8_mape,fold9_mape,fold10_mape,mean_mape,weighted_mape_235,weighted_mape_127,delta_vs_current_best_fold10,safe_risk_score,exploratory_score,mean_abs_delta_vs_current_best,mean_rel_delta_vs_current_best,mean_abs_relative_delta_vs_current_best,max_rel_delta_vs_current_best,share_abs_delta_vs_current_best_gt_0p1pct,share_abs_delta_vs_current_best_gt_0p3pct,share_abs_delta_vs_current_best_gt_1pct,share_abs_delta_vs_current_best_gt_3pct,share_changed_stores,generated_submission,comment,lb_score,lb_mape,lb_verdict,delta_lb_vs_best
mape_low_rto_decile_v1,mape_aware,low_rto,exploratory,mixed,5.120067251442122,9.067705519932145,6.354384971625623,6.847385914333297,6.92151759208088,6.773617309268577,-0.00595291212433402,9.532567243793089,6.812949542003348,66101.49052092427,-0.0003676893242114945,0.003429953648160243,0.9626232633780614,0.3068154256609265,0.24700460829493087,0.09483385884065001,0.012806209071064759,0.5000242541838467,,MAPE-aware поправка: нижние decile сильнее тянутся к rolling median.,,,,
exploratory_segment_rto_decile_s0p30_c98_102,segment_calibrated,segment_calibration,exploratory,mixed,5.60582528954984,9.102076900044787,6.361104307759752,7.023002165784793,7.032340281803281,6.833770924395768,0.0007664240097948749,9.578444072340762,6.843815840773528,60431.00401535584,0.00243088065480062,0.0024441669935831053,0.005504661678590869,0.8999757458161532,0.3000242541838467,0.0,0.0,1.0,,"Более заметная segment calibration по rto_decile, shrink=0.30.",,,,
exploratory_selector_region_rto_w0p75,segment_selector,selector,exploratory,mixed,5.269746023898626,9.101475068856809,6.264970485897719,6.878730526217718,6.916876968385628,6.732748956289628,-0.0953673978522378,9.772837407918859,6.7722285523802475,113081.24063115515,0.00017663206380694508,0.003151490097115345,0.5158927293281723,0.37128304632549114,0.29168081494057724,0.07164685908319185,0.013436817851079311,0.4669900557846228,,"Более смелый selector по сегменту region_rto, safety blend 75/25.",,,,
exploratory_selector_rto_decile_w0p75,segment_selector,selector,exploratory,mixed,5.254215595880601,9.112652176368078,6.252697968687161,6.873188580311947,6.910987756430124,6.724840572942688,-0.10763991506279602,9.84208335304581,6.748652359525552,125245.39454636059,0.0013713486238384023,0.0027271401941031427,0.159597393269757,0.39383943730293475,0.31166626243026924,0.05263157894736842,0.0064516129032258064,0.4999757458161533,,"Более смелый selector по сегменту rto_decile, safety blend 75/25.",,,,
exploratory_selector_v1,exploratory_selector,exploratory,exploratory,mixed,5.269869648846956,9.100540475858718,6.262092589378739,6.877500904694805,6.915182367216376,6.730559872621556,-0.09824529437121843,9.87396619166468,6.7712564664402315,115927.21920227166,0.00017054021597610959,0.0032617060583555704,0.5158927293281723,0.38486538927965075,0.30118845500848895,0.07479990298326461,0.013824884792626729,0.49662866844530684,,Исследовательский selector по region x rto_decile.,,,,
october_low_recovery_raw,october_outlier,outlier_specific,exploratory,up,5.306374728155714,9.06020355065226,6.915505335759274,7.0940278715224165,7.237088678706458,7.183531917977515,0.555167452009317,10.457563633031901,7.720614639872995,376652.2684661163,0.01162731676002561,0.012470147389826587,2.5290699752009758,0.27382973562939605,0.19403347077370847,0.19403347077370847,0.14644676206645646,1.0,,Исходный Low October recovery оказался слишком резким; оставлен только для оценки риска.,,,,
exploratory_segment_volatility_s0p30_c98_102,segment_calibrated,segment_calibration,exploratory,mixed,5.623093759160847,9.107844904861848,6.3440408038804685,7.024993155967721,7.028992625230957,6.8247069196047825,-0.016297079869488584,10.474502569556106,6.835772619593966,95229.86320752013,0.002235785378513256,0.0027664249972957798,0.0050322282486031655,1.0,0.4,0.0,0.0,1.0,,"Более заметная segment calibration по volatility, shrink=0.30.",,,,
cluster_ratio_k10_v1,trajectory_cluster,clustering,moderate,mixed,5.254716613801664,9.105638919878903,6.431341879382233,6.930565804354266,6.99830593841512,6.8485387609235095,0.07100399563227544,10.860623458809393,6.884287053511192,85790.67159645197,0.0017220415555146047,0.002724223529096524,0.007668148686592987,0.5494542808634489,0.4356051418869755,0.0,0.0,1.0,,"Кластеры магазинов по временной траектории, k=10.",,,,
weighted_oof_volatility_v1,weighted_mixture,weighted_mixture,moderate,mixed,5.261103939220582,9.001425264266508,6.355371051747831,6.872633418411641,6.930333892997984,6.775155182998841,-0.004966832002126331,10.96843208791903,6.802388895181768,138992.84965327085,-0.00013797997086032468,0.0038979259841262614,0.13197628443199158,0.6928450157652195,0.4039291777831676,0.09755032743148193,0.005821004123211254,0.8,,OOF-веса по bucket волатильности.,,,,
exploratory_segment_area_vol_s0p30_c98_102,segment_calibrated,segment_calibration,exploratory,mixed,5.627090464292272,9.13411063122679,6.345054582497756,7.03541855933894,7.038178573475369,6.831069380423014,-0.01528330125220112,11.40875571154717,6.842075430129263,92185.77994459309,0.00222356238421962,0.002751512426562321,0.005155201761631086,0.8264370603929178,0.5031287897162261,0.0,0.0,1.0,,"Более заметная segment calibration по area_vol, shrink=0.30.",,,,
cluster_ratio_k20_v1,trajectory_cluster,clustering,exploratory,mixed,5.364687797498315,9.002356525471138,6.437972154791137,6.935005492586863,6.992630594536573,6.843520593197854,0.07763427104117948,11.83867234444966,6.8840571290227075,114740.41134858111,8.209034252312164e-05,0.003316881056263384,0.030206712352293275,0.705505699733204,0.5161775406257579,0.0486538927965074,4.8508367693427115e-05,1.0,,"Кластеры магазинов по временной траектории, k=20.",,,,
exploratory_segment_trend_s0p30_c98_102,segment_calibrated,segment_calibration,exploratory,mixed,5.615775428032642,9.206120421979488,6.36406143720891,7.061985762407013,7.06702193080483,6.857644633245399,0.003723553458953255,12.894055468946554,6.870649741782028,99005.49818359394,0.0022663293552629867,0.0029254662064988144,0.004926688301443708,0.9149163230657288,0.664613145767645,0.0,0.0,1.0,,"Более заметная segment calibration по trend, shrink=0.30.",,,,
exploratory_segment_bias_v1,exploratory_segment,exploratory,exploratory,mixed,5.582762200804311,9.35771549957876,6.309827545571539,7.08343508198487,7.07878086282026,6.846698601896261,-0.05051033817841777,13.165836358991555,6.867223299258155,200537.6457097281,0.0025189996116251395,0.005131174340473526,0.017414053299131264,0.8853747271404317,0.624302692214407,0.12161047780742178,0.0,1.0,submissions/test_exploratory_segment_bias_v1.csv,Исследовательская segment bias calibration по region x trend.,,,,
exploratory_outlier_v1,exploratory_outlier,exploratory,exploratory,mixed,4.721824952940733,8.857924594229162,7.23078110976105,6.936843552310315,7.21713292373742,7.305314190972641,0.8704432260110933,14.943131996553971,8.286446554016512,816341.0372542619,0.007990551296774758,0.02398227234626321,3.1610066555038503,0.495512975988358,0.4774193548387097,0.4774193548387097,0.2902740722774679,1.0,,Исследовательская более сильная outlier correction.,,,,
