fold,segment_type,segment_value,n,cluster_mape,temporal_mape,winner,temporal_minus_cluster_mape
9,Регион,Архангельская обл,146,8.064176362939508,8.046470400814654,temporal,-0.01770596212485387
9,Регион,Астраханская обл,138,8.571511685107943,8.532599073733255,temporal,-0.0389126113746876
9,Регион,Башкортостан Респ,615,9.568638743607716,9.579193752815165,cluster,0.010555009207449118
9,Регион,Белгородская обл,235,6.458996084241093,6.537442334648234,cluster,0.07844625040714082
9,Регион,Брянская обл,228,7.254630673109055,7.328889140632038,cluster,0.07425846752298249
9,Регион,Владимирская обл,294,10.626238071058486,10.590849601733154,temporal,-0.035388469325331684
9,Регион,Волгоградская обл,255,9.246909287167497,9.230805033934686,temporal,-0.01610425323281106
9,Регион,Вологодская обл,204,9.472458991341643,9.512263036185036,cluster,0.03980404484339317
9,Регион,Воронежская обл,455,9.604830175315042,9.529542474992562,temporal,-0.07528770032248033
9,Регион,Ивановская обл,170,7.585424683809928,7.629107380297756,cluster,0.043682696487827855
9,Регион,Калужская обл,231,10.243041777675103,10.167333750973041,temporal,-0.07570802670206156
9,Регион,Карелия Респ,125,13.193735700293155,13.198996850476846,cluster,0.005261150183690333
9,Регион,Кемеровская область - Кузбасс обл,268,10.015947419240298,10.049432646360195,cluster,0.033485227119896877
9,Регион,Кировская обл,189,7.956989477364691,8.002206020034574,cluster,0.045216542669883175
9,Регион,Коми Респ,114,6.157631532958735,6.154769973997125,temporal,-0.0028615589616105552
9,Регион,Краснодарский край,1039,15.483949449705985,15.388025007857781,temporal,-0.09592444184820437
9,Регион,Красноярский край,183,5.902417613733376,5.923763492957828,cluster,0.021345879224451636
9,Регион,Курская обл,199,8.897965608866505,8.894632826822388,temporal,-0.003332782044116911
9,Регион,Ленинградская обл,428,14.69453007267862,14.678031572426015,temporal,-0.016498500252605908
9,Регион,Липецкая обл,282,9.460086794160251,9.462557819380866,cluster,0.0024710252206148198
9,Регион,Марий Эл Респ,104,6.7855620747957275,6.844937062226543,cluster,0.059374987430815374
9,Регион,Москва г,1423,7.803039700289056,7.701636133462908,temporal,-0.10140356682614815
9,Регион,Московская обл,1930,10.52459237006116,10.349652519666979,temporal,-0.17493985039418192
9,Регион,Мурманская обл,165,8.434673254140336,8.34486167605832,temporal,-0.08981157808201523
9,Регион,Нижегородская обл,688,8.117949952554437,8.078635687304848,temporal,-0.03931426524958859
9,Регион,Новгородская обл,114,11.753864186393818,11.75695478902037,cluster,0.0030906026265515862
9,Регион,Новосибирская обл,337,7.889454355643124,7.894147052075619,cluster,0.004692696432495147
9,Регион,Омская обл,208,6.547840026127741,6.539007161690923,temporal,-0.008832864436818078
9,Регион,Оренбургская обл,326,10.690657854423314,10.736312140550247,cluster,0.045654286126932675
9,Регион,Орловская обл,152,7.514038930052639,7.477215617938174,temporal,-0.03682331211446499
9,Регион,Пензенская обл,163,9.858280214935434,9.817367602701376,temporal,-0.04091261223405773
9,Регион,Пермский край,555,7.9466124401139995,7.950458789963457,cluster,0.003846349849457198
9,Регион,Псковская обл,138,12.626546856320498,12.742521432122553,cluster,0.1159745758020545
9,Регион,Ростовская обл,795,7.96058618695969,7.933980465954137,temporal,-0.02660572100555303
9,Регион,Рязанская обл,256,12.530332005656774,12.467922201004685,temporal,-0.06240980465208956
9,Регион,Самарская обл,677,7.01533129586515,7.018508214903088,cluster,0.003176919037938042
9,Регион,Санкт-Петербург г,525,6.596413250159274,6.493920216704615,temporal,-0.10249303345465854
9,Регион,Саратовская обл,425,9.721162606965569,9.736134077112423,cluster,0.01497147014685396
9,Регион,Свердловская обл,763,6.85653698793285,6.827313600693803,temporal,-0.02922338723904705
9,Регион,Смоленская обл,174,9.374109675770477,9.341592126725551,temporal,-0.03251754904492543
9,Регион,Ставропольский край,386,7.283556902432382,7.270676080661078,temporal,-0.01288082177130434
9,Регион,Тамбовская обл,203,11.082550485677393,11.022477729421528,temporal,-0.060072756255864945
9,Регион,Татарстан Респ,857,6.846834418818772,6.801196156196777,temporal,-0.04563826262199466
9,Регион,Тверская обл,263,11.83759228520312,11.780263813202142,temporal,-0.05732847200097879
9,Регион,Тульская обл,272,8.192527583826866,8.096784393178828,temporal,-0.09574319064803838
9,Регион,Тюменская обл,217,8.926548063169149,8.896091961310107,temporal,-0.03045610185904124
9,Регион,Удмуртская Респ,246,7.165239718793287,7.226377179813979,cluster,0.061137461020692285
9,Регион,Ульяновская обл,189,9.546760237932371,9.535935525585398,temporal,-0.010824712346973797
9,Регион,Ханты-Мансийский Автономный округ - Югра АО,181,6.252535714251518,6.169517706786708,temporal,-0.08301800746481014
9,Регион,Челябинская обл,618,5.900887666316126,5.914555204832337,cluster,0.013667538516211053
9,Регион,Чувашская Республика - Чувашия,180,7.064707641215873,7.094511784774637,cluster,0.029804143558764373
9,Регион,Ярославская обл,268,9.237466397264512,9.179893413901489,temporal,-0.05757298336302341
9,"Торговая площадь, категориальный",Большой,4149,8.162688245730548,8.123525870392793,temporal,-0.039162375337754796
9,"Торговая площадь, категориальный",Маленький,4322,8.608590046400716,8.57139651135784,temporal,-0.037193535042876036
9,"Торговая площадь, категориальный",Очень большой,494,6.996087948230724,6.932883960280122,temporal,-0.06320398795060189
9,"Торговая площадь, категориальный",Средний,11650,9.54553241661078,9.507869370280646,temporal,-0.03766304633013284
9,Флаг алкогольной лицензии,0,1331,8.783515259801797,8.760467822158255,temporal,-0.02304743764354278
9,Флаг алкогольной лицензии,1,19284,9.025304967912534,8.985761497988154,temporal,-0.0395434699243804
9,Количество касс,3,636,7.807463435509919,7.79385143873772,temporal,-0.013611996772199042
9,Количество касс,4,1723,8.509197350666604,8.48422979589562,temporal,-0.024967554770983114
9,Количество касс,5,2742,8.661022407837422,8.641247311787376,temporal,-0.01977509605004535
9,Количество касс,6,3275,8.876148959802277,8.846021874743093,temporal,-0.03012708505918482
9,Количество касс,7,3270,8.890682744138125,8.85396397930072,temporal,-0.03671876483740455
9,Количество касс,8,2696,9.357170026776423,9.321560635368325,temporal,-0.035609391408097935
9,Количество касс,9,1918,9.226640314468462,9.175295419081287,temporal,-0.05134489538717446
9,Количество касс,10,1259,9.1391239066656,9.085017723548773,temporal,-0.05410618311682569
9,Количество касс,11,942,9.326074957470887,9.2669220534012,temporal,-0.05915290406968765
9,Количество касс,12,664,8.45220513999699,8.373435606821946,temporal,-0.0787695331750431
9,Количество касс,13,429,11.398103561755585,11.364137556114203,temporal,-0.03396600564138197
9,Количество касс,14,269,10.92850911124138,10.803889224090627,temporal,-0.12461988715075378
9,Количество касс,15,198,11.316651190017078,11.297719110987263,temporal,-0.018932079029815085
9,Количество касс,16,138,7.7456710387225405,7.649637966686183,temporal,-0.09603307203635758
9,regime,declining,2703,6.741490952634881,6.727384618455591,temporal,-0.014106334179289526
9,regime,growing,458,5.842684680406282,5.812692055390819,temporal,-0.029992625015462515
9,regime,high_stable,1210,5.98565569097214,5.932978734612059,temporal,-0.05267695636008174
9,regime,low_volatile,1898,8.89234324049256,8.933671504420587,cluster,0.04132826392802791
9,regime,october_drop,945,11.819080316394444,11.765033625572483,temporal,-0.05404669082196101
9,regime,october_spike,924,22.79012474477014,22.713100097733168,temporal,-0.07702464703697132
9,regime,stable,7881,5.7846504548997855,5.746444516572166,temporal,-0.03820593832761965
9,regime,volatile,4596,13.68589924470553,13.613505336726325,temporal,-0.07239390797920464
9,region_x_rto_decile,Москва г__9,434,7.338733248869232,7.233803890790799,temporal,-0.10492935807843295
9,region_x_rto_decile,Московская обл__7,307,10.422859638130706,10.263002553462218,temporal,-0.15985708466848791
9,region_x_rto_decile,Московская обл__8,373,11.675936366493683,11.455980376440799,temporal,-0.2199559900528847
9,region_x_rto_decile,Московская обл__9,461,13.13568235521484,12.864232006404345,temporal,-0.2714503488104949
10,rto_decile,0,2062,6.50099588859143,6.4715712668440855,temporal,-0.029424621747344837
10,rto_decile,1,2061,5.701699186370344,5.635633182170096,temporal,-0.06606600420024744
10,rto_decile,2,2062,5.881367785614051,5.7736878166255545,temporal,-0.10767996898849663
10,rto_decile,3,2061,5.723518691547849,5.587089215112146,temporal,-0.13642947643570302
10,rto_decile,4,2062,5.725416479249229,5.587985214328586,temporal,-0.13743126492064306
10,rto_decile,5,2061,5.906776152142508,5.69235915173363,temporal,-0.21441700040887834
10,rto_decile,6,2061,5.904940862572766,5.672162419145967,temporal,-0.232778443426799
10,rto_decile,7,2062,6.452909954910306,6.142669469761981,temporal,-0.31024048514832536
10,rto_decile,8,2061,7.183043080206329,6.804564471799866,temporal,-0.3784786084064633
10,rto_decile,9,2062,8.815404160212342,8.276316363406364,temporal,-0.539087796805978
10,volatility_bucket,0,4123,6.137414185720962,5.944508534979751,temporal,-0.1929056507412108
